iter	Passed	Remaining
0	28	28626
1	70	35147
2	96	32145
3	119	29689
4	141	28097
5	158	26332
6	181	25816
7	204	25369
8	224	24753
9	241	23954
10	260	23403
11	274	22640
12	292	22210
13	313	22096
14	336	22116
15	360	22161
16	382	22106
17	402	21957
18	418	21602
19	433	21232
20	459	21410
21	486	21642
22	510	21698
23	528	21478
24	551	21513
25	577	21651
26	599	21616
27	618	21459
28	631	21150
29	648	20969
30	678	21207
31	695	21053
32	716	20984
33	748	21252
34	792	21852
35	832	22281
36	865	22530
37	906	22957
38	947	23353
39	980	23534
40	1007	23576
41	1031	23524
42	1053	23439
43	1081	23488
44	1111	23596
45	1144	23726
46	1175	23837
47	1195	23713
48	1226	23807
49	1251	23780
50	1286	23930
51	1311	23917
52	1342	23992
53	1364	23899
54	1388	23858
55	1428	24074
56	1471	24338
57	1499	24355
58	1527	24365
59	1547	24245
60	1583	24374
61	1622	24553
62	1655	24625
63	1687	24686
64	1734	24948
65	2342	33150
66	2387	33249
67	2454	33640
68	2559	34540
69	2608	34658
70	2715	35532
71	2756	35526
72	2828	35919
73	2868	35894
74	3142	38756
75	3279	39865
76	3331	39937
77	3526	41683
78	3576	41697
79	3609	41510
80	3635	41247
81	3683	41239
82	3730	41217
83	3752	40920
84	3804	40957
85	3855	40972
86	3881	40732
87	3981	41259
88	4035	41306
89	4076	41218
90	4108	41043
91	4145	40912
92	4175	40719
93	4223	40705
94	4302	40986
95	4338	40857
96	4360	40597
97	4436	40831
98	4482	40794
99	4523	40707
100	4545	40460
101	4569	40226
102	4622	40255
103	4661	40160
104	4727	40299
105	4778	40302
106	4833	40340
107	4879	40303
108	4923	40244
109	4968	40202
110	4998	40029
111	5049	40034
112	5098	40023
113	5147	40002
114	5197	39997
115	5346	40740
116	5394	40714
117	5426	40564
118	5461	40431
119	5496	40309
120	5562	40408
121	5610	40375
122	5647	40264
123	5678	40112
124	5706	39943
125	5756	39930
126	5786	39777
127	5815	39619
128	5841	39439
129	5870	39287
130	5891	39080
131	5921	38935
132	5959	38846
133	5985	38679
134	6019	38566
135	6067	38546
136	6093	38385
137	6127	38276
138	6146	38070
139	6165	37871
140	6186	37691
141	6210	37524
142	6230	37340
143	6255	37186
144	6280	37032
145	6300	36854
146	6325	36707
147	6355	36588
148	6389	36492
149	6408	36315
150	6425	36125
151	6448	35978
152	6466	35796
153	6482	35609
154	6519	35541
155	6561	35499
156	6587	35371
157	6610	35227
158	6632	35082
159	6669	35013
160	6704	34938
161	6739	34863
162	6766	34746
163	6791	34622
164	6829	34562
165	6862	34477
166	6883	34334
167	6909	34216
168	6943	34142
169	6984	34098
170	7026	34065
171	7052	33952
172	7085	33869
173	7128	33840
174	7188	33887
175	7258	33981
176	7317	34024
177	7360	33992
178	7403	33957
179	7478	34066
180	7512	33992
181	7548	33925
182	7644	34130
183	7681	34064
184	7785	34297
185	7846	34338
186	7874	34233
187	7952	34346
188	8266	35472
189	8300	35387
190	8333	35295
191	8391	35312
192	8456	35361
193	8480	35233
194	8515	35154
195	8546	35057
196	8572	34944
197	8616	34902
198	8701	35023
199	8733	34934
200	8778	34896
201	8810	34807
202	8837	34698
203	8859	34571
204	8886	34462
205	8960	34537
206	9010	34518
207	9089	34610
208	9113	34492
209	9142	34393
210	9178	34322
211	9216	34258
212	9252	34185
213	9278	34079
214	9314	34010
215	9342	33909
216	9364	33788
217	9405	33737
218	9458	33729
219	9493	33659
220	9517	33546
221	9551	33472
222	9601	33454
223	9632	33368
224	9658	33269
225	9678	33147
226	9696	33019
227	9724	32928
228	9750	32827
229	9778	32735
230	9803	32635
231	9817	32498
232	9837	32384
233	9862	32284
234	9876	32151
235	9898	32043
236	9923	31949
237	9941	31828
238	9961	31717
239	9988	31631
240	10031	31592
241	10059	31509
242	10092	31440
243	10125	31372
244	10146	31268
245	10158	31137
246	10170	31005
247	10192	30904
248	10208	30788
249	10223	30671
250	10238	30552
251	10258	30450
252	10275	30337
253	10293	30232
254	10314	30135
255	10330	30024
256	10346	29913
257	10365	29810
258	10379	29696
259	10396	29590
260	10411	29480
261	10428	29375
262	10443	29264
263	10463	29170
264	10482	29075
265	10497	28967
266	10516	28869
267	10532	28768
268	10549	28667
269	10568	28572
270	10583	28468
271	10606	28387
272	10629	28307
273	10651	28221
274	10676	28146
275	10697	28061
276	10718	27976
277	10737	27885
278	10756	27798
279	10772	27701
280	10787	27602
281	10809	27522
282	10827	27432
283	10850	27356
284	10875	27284
285	10896	27202
286	10910	27105
287	10931	27024
288	10950	26940
289	10970	26858
290	11000	26803
291	11025	26733
292	11053	26671
293	11077	26601
294	11101	26530
295	11132	26477
296	11154	26402
297	11171	26317
298	11195	26248
299	11210	26157
300	11229	26076
301	11254	26012
302	11275	25936
303	11292	25854
304	11312	25778
305	11336	25710
306	11373	25672
307	11399	25611
308	11422	25543
309	11438	25460
310	11454	25376
311	11473	25301
312	11510	25265
313	11546	25225
314	11569	25159
315	11588	25084
316	11613	25021
317	11634	24950
318	11674	24922
319	11723	24912
320	11754	24864
321	11773	24790
322	11793	24719
323	11812	24644
324	11833	24578
325	11851	24503
326	11869	24427
327	11900	24380
328	11923	24318
329	11944	24251
330	11966	24186
331	11992	24128
332	12018	24073
333	12046	24020
334	12066	23951
335	12086	23884
336	12108	23821
337	12123	23745
338	12138	23667
339	12154	23593
340	12169	23517
341	12187	23448
342	12203	23375
343	12222	23308
344	12249	23256
345	12272	23197
346	12291	23130
347	12313	23070
348	12331	23002
349	12355	22946
350	12372	22877
351	12398	22825
352	12420	22764
353	12441	22704
354	12461	22640
355	12481	22578
