model,R2_mean,R2_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std
XGBoost+PseudoHuber,0.963573498414817,0.0026179548914670894,1088.0485539853107,13.008420000433597,698.8830078125,15.263629351829405,3545152.060368879,253183.33920572605,1881.870373232534,68.15385827781506
XGBoost+FuzzyLogic,0.9619521314066173,0.004629507819506118,1106.9385755849162,29.336402444629453,706.53466796875,14.069065629696887,3704263.708726386,462919.1337576234,1921.6060022323486,120.90327182812706
XGBoost+Huber,0.9618759554089522,0.004455867522858821,1126.2628395868373,18.509152370456768,725.19423828125,10.878723660208916,3709331.4020995395,423482.32127869455,1923.2846127923647,113.51046370083547
XGBoost+EvolutionaryStacking,0.9621808067599311,0.0008925031281464089,1126.8377232797982,65.99164487634418,726.095703125,52.07814817888744,3680876.540178998,86205.47723261049,1918.4556275253576,22.48736854559442
XGBoost+ElasticNet,0.9608045640193662,0.0035083078899400275,1127.1140622590187,50.86334682766982,722.03173828125,43.51428799450073,3811970.2688530097,298970.43499387056,1951.163225716192,78.52018423463905
RandomForest+PseudoHuber,0.9614426203484481,0.004486905674533735,1127.4034731012848,16.249995733881825,726.1684104498822,10.435192340238874,3753170.228151582,443394.1709811925,1934.5643427944674,115.27701277679422
RandomForest,0.9594096574449413,0.003411025580334598,1133.8950575814347,28.151370027186204,726.9618909504072,15.763573089539808,3950740.38064223,335792.06067718286,1986.2103322190378,84.47556472561739
RandomForest+ElasticNet,0.9594790592390611,0.0034525242203513806,1134.163412949328,28.245752098535604,726.9326169274646,16.074855546418746,3943976.2445005267,339739.88531721453,1984.4682772654737,85.6000951191739
XGBoost,0.9603926812153188,0.0032631516642985864,1135.2746977351976,46.364252248892534,727.0017578125,41.032712530609395,3852271.4796104906,274912.87983497186,1961.6719364364903,71.71726960781362
RandomForest+FuzzyLogic,0.9586099791804201,0.006906864695548597,1140.7513664713927,38.34775221246276,730.0487185540014,17.55412578784164,4027534.0477664783,668043.8280053147,2001.0627115644334,170.59481290793772
RandomForest+EvolutionaryStacking,0.9581902147491241,0.0061725490300457864,1149.8367453654187,29.951444765022025,734.4009611752936,14.062759351843548,4068622.24672509,596240.4286698978,2012.675213075638,148.99972062064361
RandomForest+Huber,0.957163633122598,0.004948701585424961,1154.6394954677612,14.04412939934042,735.8530420930942,8.655132777394863,4169196.831720975,481890.0616482669,2039.1037939806017,118.59884640506934
DecisionTree+PseudoHuber,0.950477961292051,0.005235368856858479,1260.7575529305166,16.96564051727073,799.8757015627142,13.114455868329065,4816624.546555873,472251.83600121806,2192.464382060308,110.25243734711607
BaggingSVR,0.951532960821401,0.003942832052957427,1260.969387234464,18.56275929803693,786.8837908153048,13.52416376032809,4718383.209432421,401535.2973942127,2170.615062583697,92.28664256808955
DecisionTree+Huber,0.947700392003291,0.004805281428300899,1278.4711107942046,15.989653872757819,798.7551020319104,12.609407997133719,5089016.262839384,454263.211710519,2254.0051792632635,102.93757024142292
DecisionTree+EvolutionaryStacking,0.9477123370382662,0.004846384424882664,1281.0219467973927,15.315833373550937,802.7537260884948,8.423914554343064,5087935.905420201,459516.2182094872,2253.724198938199,104.06212411688429
DecisionTree+FuzzyLogic,0.9473422008190164,0.004411847465797183,1282.6143965619588,16.168274945417217,802.341980855773,13.003290862954112,5124032.840920492,415990.94573370175,2262.087690800412,93.48876971160819
DecisionTree,0.9471045231940394,0.0049570142429053105,1284.5288633958558,21.012418408557174,801.864513684948,13.433328465755295,5146944.888129116,467659.5999214771,2266.7496553649116,104.82657125085822
DecisionTree+ElasticNet,0.947129914229144,0.004972210686561058,1284.7446778645449,20.884280901763002,801.5410902456588,13.82843369986714,5144470.701878346,469161.02058188786,2266.190325355674,105.19096410036579
NeuralNetwork,0.9402081798718871,0.008070905231259978,1373.2117410270462,78.09768360585306,887.4443359375,82.10791694297494,5823839.329264018,824421.4362230146,2408.4126700925117,170.9815041235329
LinearRegression,-7.98110871696173,19.87146296499941,1827.7329451241008,207.39455254269362,1106.970456713852,8.353682845814827,879017645.5525783,1945051925.397323,15625.142232561431,28170.742264022872
FTTransformer,0.8719551358943921,0.003817545727123792,2066.9349538095075,28.157691778022958,1400.43740234375,58.629396060674395,12461828.21549964,349140.38866202655,3529.8569079646322,49.22429270698048
