outer_fold,model,R2,MAE,MedAE,MSE,RMSE
1,XGBoost+Huber,0.9614938688481831,1128.1063671686234,728.2659455955682,3835255.7403290174,1958.3808976624075
1,XGBoost+PseudoHuber,0.9640190855321713,1101.6049487881874,710.6767578125,3583741.2024322813,1893.0771781499775
2,XGBoost+Huber,0.964032057383161,1078.3232931810455,693.6851175234906,3386706.3116490194,1840.300603610459
2,XGBoost+PseudoHuber,0.9635511330098667,1085.6460568335451,702.294921875,3431989.6804480716,1852.5630030981595
3,XGBoost+Huber,0.9603040175843733,1121.4824297465225,724.7738473979771,3885448.1223832867,1971.1540077790185
3,XGBoost+PseudoHuber,0.9632154351578754,1090.484579895607,712.73828125,3600478.176911322,1897.4926025972597
4,XGBoost+Huber,0.9691714614379566,1098.1655043761632,715.2595877147287,3030653.824139386,1740.8773144996135
4,XGBoost+PseudoHuber,0.9695410381730174,1066.016689479955,691.185546875,2994321.9317543204,1730.4109141340737
5,XGBoost+Huber,0.9531276799169152,1231.0516336020103,792.1538273877377,4536374.632508865,2129.876670727407
5,XGBoost+PseudoHuber,0.959759013864197,1096.332091100575,693.689453125,3894584.0182439564,1973.4700449320117
