outer_fold,model,R2,MAE,MedAE,MSE,RMSE
1,LinearRegression,0.8635439165915899,2057.130207601878,1333.7003009322116,13591185.651229125,3686.6225262737607
1,DecisionTree,0.94632336158125,1314.9906172929673,809.0188117104863,5346256.023629712,2312.197228531708
1,RandomForest+PseudoHuber,0.955229424728358,1198.0765639724088,757.6053754606373,4459201.708201095,2111.6821986750506
1,SVR,0.9156531441409318,1700.3100223250508,1097.6250602789833,8401045.585098518,2898.455724191508
1,XGBoost+Huber,0.9544849518908932,1171.961038335184,739.9915523683867,4533352.074337575,2129.166990711996
1,NeuralNetwork,0.8943564735289582,1874.246968714409,1208.55322265625,10522218.90922289,3243.796989520597
2,LinearRegression,0.8696161937791391,2053.5609931917447,1333.7006226785224,12276811.720064376,3503.828152187886
2,DecisionTree,0.9472047446085574,1271.539830682619,785.0829689992279,4971149.630771805,2229.607505991089
2,RandomForest+PseudoHuber,0.9534604469426956,1223.715581235107,773.5873037574715,4382118.815066919,2093.351096941676
2,SVR,0.9225076217113763,1686.900499074,1120.322556445045,7296606.576877369,2701.22316310174
2,XGBoost+Huber,0.9612064447427175,1117.294300222845,719.2685880658992,3652763.235327063,1911.2203523735989
2,NeuralNetwork,0.9079885040406956,1689.0315643135175,1056.41259765625,8663712.501691885,2943.4185060388345
3,LinearRegression,-16.508367399820678,2328.8130343704606,1322.7826019552049,1713721366.7459283,41397.11785554556
3,DecisionTree,0.9397139199099306,1296.6023805931748,803.5019305117894,5900809.664798698,2429.158221441884
3,RandomForest+PseudoHuber,0.9544835381393428,1174.1082123005904,732.5040092268009,4455157.436899765,2110.72438676862
3,SVR,0.916917379883047,1684.8739918282035,1106.2399512919155,8132138.08279553,2851.6903904168016
3,XGBoost+Huber,0.9553441375662448,1201.2814984696513,780.2482757965226,4370921.848714291,2090.674974431533
3,NeuralNetwork,0.894400972988448,1889.6301064829483,1271.32373046875,10336047.03195402,3214.972322113212
4,LinearRegression,0.875669487117548,2048.6685115813125,1332.163130099315,12222530.223613655,3496.0735437936164
4,DecisionTree,0.9544416145210396,1279.8689906422485,800.8782668792865,4478697.389289297,2116.2933136239167
4,RandomForest+PseudoHuber,0.9609931647811336,1223.4237099608954,779.5442549527215,3834635.692694895,1958.2225850742543
4,SVR,0.929998774917954,1636.4818135243088,1061.257549659771,6881593.821334964,2623.2792114708195
4,XGBoost+Huber,0.9638702735745736,1134.9480050625573,733.0852833305871,3551796.4413383743,1884.621033878794
4,NeuralNetwork,0.9137202150931004,1737.735203809854,1082.03515625,8481886.33878229,2912.3678234011395
5,LinearRegression,0.8652544281059069,2065.877507398992,1342.5345640752855,13040881.976820515,3611.216135434228
5,DecisionTree,0.9409515302272278,1320.2950455124728,813.0109282934172,5714800.971892524,2390.5649901001484
5,RandomForest+PseudoHuber,0.94887376347304,1246.1287999741055,780.9825841367328,4948075.154492888,2224.426927209093
5,SVR,0.9063225887402564,1744.8486257344068,1116.3767167059775,9066242.74890882,3011.0202172866293
5,XGBoost+Huber,0.9532372131854606,1156.7494158632087,729.4614961168227,4525773.835706734,2127.386621116795
5,NeuralNetwork,0.9048253803615964,1816.0470651914172,1164.255859375,9211144.859504014,3034.9867972536576
