model,outer_fold,instance_index,feature,feature_index,original_value,counterfactual_value,absolute_change,original_prediction,counterfactual_prediction,target_prediction,direction
XGBoost+PseudoHuber,,0,engineSize,4,0.7138684063248986,1.3464944863661135,0.6326260800412149,19359.673828125,22069.435546875,21664.313720703125,increase
XGBoost+PseudoHuber,,49,year,0,-0.058691936490500175,0.5436885484382135,0.6023804849287137,30308.673828125,33027.875,32613.313720703125,increase
XGBoost+PseudoHuber,,99,tax,2,0.41520464364083604,0.3454329089927979,0.06977173464803815,22511.740234375,25883.123046875,24816.380126953125,increase
XGBoost+PseudoHuber,,149,tax,2,0.41520464364083604,0.3454329089927979,0.06977173464803815,15644.1162109375,18009.892578125,17948.756103515625,increase
XGBoost+PseudoHuber,,199,year,0,-0.5380776533561412,0.9222357502449973,1.4603134036011385,9064.302734375,12015.6474609375,11368.942626953125,increase
RandomForest+PseudoHuber,,0,year,0,-0.5380776533561412,0.7960533496427358,1.3341310029988769,19547.184220858795,25173.590981579437,21747.983113543458,increase
RandomForest+PseudoHuber,,49,year,0,-0.058691936490500175,0.2913237472336909,0.3500156837241911,32847.326148877466,35313.234213297226,35048.12504156213,increase
RandomForest+PseudoHuber,,99,engineSize,4,-1.3605748787242282,-0.6386897147001371,0.7218851640240911,22418.90440301113,24958.30583132921,24619.703295695792,increase
RandomForest+PseudoHuber,,149,engineSize,4,-1.3605748787242282,0.08319544932395395,1.4437703280481822,15328.426255352057,17733.199787624308,17529.22514803672,increase
RandomForest+PseudoHuber,,199,model,5,10493.914911745816,13960.306949128924,3466.392037383108,9824.432818890093,12189.883902140662,12025.231711574757,increase
DecisionTree+PseudoHuber,,0,year,0,-0.5380776533561412,0.7960533496427358,1.3341310029988769,20260.894736842107,27490.0,22520.188001229566,increase
DecisionTree+PseudoHuber,,49,year,0,-0.058691936490500175,0.7960533496427358,0.854745286133236,30985.5,44049.0,33244.79326438746,increase
DecisionTree+PseudoHuber,,99,mpg,3,-0.6728445314530263,-1.530995260323584,0.8581507288705577,22443.75,25706.130434782608,24703.04326438746,increase
DecisionTree+PseudoHuber,,149,mpg,3,-0.6728445314530263,-0.5106397739244892,0.16220475752853702,14837.05,17490.25,17096.34326438746,increase
DecisionTree+PseudoHuber,,199,model,5,10493.914911745816,13960.306949128924,3466.392037383108,9637.125,12025.9,11896.41826438746,increase
