model,outer_fold,feature,feature_index,grid_value,prediction_mean,prediction_std,n_samples
XGBoost+PseudoHuber,,model,5,8127.592255664954,11639.8486328125,4318.06103515625,200
XGBoost+PseudoHuber,,model,5,9294.135194357748,11916.1728515625,4280.69482421875,200
XGBoost+PseudoHuber,,model,5,10460.678133050542,14379.1123046875,5522.9560546875,200
XGBoost+PseudoHuber,,model,5,11627.221071743335,15118.71875,6252.20166015625,200
XGBoost+PseudoHuber,,model,5,12793.76401043613,15633.5146484375,5758.67822265625,200
XGBoost+PseudoHuber,,model,5,13960.306949128924,16449.974609375,5805.08203125,200
XGBoost+PseudoHuber,,model,5,15126.849887821718,15740.875,5683.3095703125,200
XGBoost+PseudoHuber,,model,5,16293.392826514511,16640.158203125,5725.04833984375,200
XGBoost+PseudoHuber,,model,5,17459.935765207305,19364.927734375,6377.25244140625,200
XGBoost+PseudoHuber,,model,5,18626.4787039001,17252.640625,6685.013671875,200
XGBoost+PseudoHuber,,model,5,19793.021642592892,20159.986328125,7835.11376953125,200
XGBoost+PseudoHuber,,model,5,20959.56458128569,19454.982421875,6927.421875,200
XGBoost+PseudoHuber,,model,5,22126.107519978483,19755.4296875,6561.24609375,200
XGBoost+PseudoHuber,,model,5,23292.650458671276,21477.89453125,7586.80517578125,200
XGBoost+PseudoHuber,,model,5,24459.19339736407,20191.248046875,8085.216796875,200
XGBoost+PseudoHuber,,model,5,25625.736336056863,19934.8046875,7805.54638671875,200
XGBoost+PseudoHuber,,model,5,26792.279274749657,25425.759765625,9851.7060546875,200
XGBoost+PseudoHuber,,model,5,27958.82221344245,23432.61328125,7772.4609375,200
XGBoost+PseudoHuber,,model,5,29125.365152135244,21049.919921875,7552.4658203125,200
XGBoost+PseudoHuber,,model,5,30291.908090828038,24546.8515625,8434.2412109375,200
XGBoost+PseudoHuber,,transmission,6,12112.895323294031,16670.927734375,8275.6572265625,200
XGBoost+PseudoHuber,,transmission,6,12753.307929811079,16670.927734375,8275.6572265625,200
XGBoost+PseudoHuber,,transmission,6,13393.720536328126,16670.927734375,8275.6572265625,200
XGBoost+PseudoHuber,,transmission,6,14034.133142845174,16670.927734375,8275.6572265625,200
XGBoost+PseudoHuber,,transmission,6,14674.54574936222,16670.927734375,8275.6572265625,200
XGBoost+PseudoHuber,,transmission,6,15314.95835587927,16670.927734375,8275.6572265625,200
XGBoost+PseudoHuber,,transmission,6,15955.370962396315,16670.927734375,8275.6572265625,200
XGBoost+PseudoHuber,,transmission,6,16595.783568913364,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,17236.19617543041,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,17876.608781947456,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,18517.021388464505,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,19157.43399498155,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,19797.8466014986,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,20438.259208015646,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,21078.671814532696,18485.466796875,8683.646484375,200
XGBoost+PseudoHuber,,transmission,6,21719.08442104974,18177.73828125,8989.7578125,200
XGBoost+PseudoHuber,,transmission,6,22359.497027566787,18177.73828125,8989.7578125,200
XGBoost+PseudoHuber,,transmission,6,22999.909634083837,18177.73828125,8989.7578125,200
XGBoost+PseudoHuber,,transmission,6,23640.322240600886,18177.73828125,8989.7578125,200
XGBoost+PseudoHuber,,transmission,6,24280.734847117932,18247.1875,9014.2353515625,200
XGBoost+PseudoHuber,,fuelType,7,14775.415222188003,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,15015.597026136249,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,15255.778830084493,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,15495.96063403274,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,15736.142437980985,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,15976.32424192923,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,16216.506045877475,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,16456.68784982572,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,16696.869653773967,17541.201171875,9055.154296875,200
XGBoost+PseudoHuber,,fuelType,7,16937.051457722213,18000.564453125,9212.0947265625,200
XGBoost+PseudoHuber,,fuelType,7,17177.23326167046,18000.564453125,9212.0947265625,200
XGBoost+PseudoHuber,,fuelType,7,17417.4150656187,18000.564453125,9212.0947265625,200
XGBoost+PseudoHuber,,fuelType,7,17657.596869566947,18045.076171875,9211.3935546875,200
XGBoost+PseudoHuber,,fuelType,7,17897.778673515193,18045.076171875,9211.3935546875,200
XGBoost+PseudoHuber,,fuelType,7,18137.96047746344,18045.076171875,9211.3935546875,200
XGBoost+PseudoHuber,,fuelType,7,18378.142281411685,18045.076171875,9211.3935546875,200
XGBoost+PseudoHuber,,fuelType,7,18618.324085359927,18045.076171875,9211.3935546875,200
XGBoost+PseudoHuber,,fuelType,7,18858.505889308173,18045.076171875,9211.3935546875,200
XGBoost+PseudoHuber,,fuelType,7,19098.68769325642,18045.076171875,9211.3935546875,200
XGBoost+PseudoHuber,,fuelType,7,19338.869497204665,17687.20703125,9133.587890625,200
XGBoost+PseudoHuber,,mpg,3,-1.8711137557899489,19075.8828125,10701.458984375,200
XGBoost+PseudoHuber,,mpg,3,-1.7010545080567665,19513.00390625,10419.3642578125,200
XGBoost+PseudoHuber,,mpg,3,-1.530995260323584,19435.779296875,9704.0419921875,200
XGBoost+PseudoHuber,,mpg,3,-1.3609360125904015,18239.658203125,9180.53125,200
XGBoost+PseudoHuber,,mpg,3,-1.1908767648572192,18910.0390625,9029.62109375,200
XGBoost+PseudoHuber,,mpg,3,-1.0208175171240366,18400.580078125,8615.7265625,200
XGBoost+PseudoHuber,,mpg,3,-0.8507582693908542,18292.97265625,9328.4228515625,200
XGBoost+PseudoHuber,,mpg,3,-0.6806990216576716,18117.23046875,9313.884765625,200
XGBoost+PseudoHuber,,mpg,3,-0.5106397739244892,17526.3671875,9228.154296875,200
XGBoost+PseudoHuber,,mpg,3,-0.34058052619130685,17358.474609375,8820.8779296875,200
XGBoost+PseudoHuber,,mpg,3,-0.17052127845812426,17227.318359375,8329.31640625,200
XGBoost+PseudoHuber,,mpg,3,-0.00046203072494188646,17435.466796875,8719.5185546875,200
XGBoost+PseudoHuber,,mpg,3,0.1695972170082405,16465.23828125,8549.0546875,200
XGBoost+PseudoHuber,,mpg,3,0.3396564647414231,16930.873046875,8368.4189453125,200
XGBoost+PseudoHuber,,mpg,3,0.5097157124746057,17040.470703125,8081.06884765625,200
XGBoost+PseudoHuber,,mpg,3,0.6797749602077878,16856.67578125,8049.37939453125,200
XGBoost+PseudoHuber,,mpg,3,0.8498342079409704,16655.943359375,8221.4560546875,200
XGBoost+PseudoHuber,,mpg,3,1.019893455674153,16453.82421875,8029.603515625,200
XGBoost+PseudoHuber,,mpg,3,1.1899527034073352,17196.1953125,8267.1259765625,200
XGBoost+PseudoHuber,,mpg,3,1.3600119511405178,16283.525390625,8426.5576171875,200
XGBoost+PseudoHuber,,mileage,1,-1.705696760776219,21341.66796875,10205.470703125,200
XGBoost+PseudoHuber,,mileage,1,-1.536557573033899,21127.658203125,10121.486328125,200
XGBoost+PseudoHuber,,mileage,1,-1.3674183852915789,20913.470703125,10043.1875,200
XGBoost+PseudoHuber,,mileage,1,-1.1982791975492586,20469.48828125,9833.5361328125,200
XGBoost+PseudoHuber,,mileage,1,-1.0291400098069385,20112.318359375,9519.3984375,200
XGBoost+PseudoHuber,,mileage,1,-0.8600008220646185,19552.537109375,9122.4765625,200
XGBoost+PseudoHuber,,mileage,1,-0.6908616343222982,19053.248046875,8799.26953125,200
XGBoost+PseudoHuber,,mileage,1,-0.5217224465799781,18717.15234375,8615.1328125,200
XGBoost+PseudoHuber,,mileage,1,-0.35258325883765806,18128.376953125,8273.478515625,200
XGBoost+PseudoHuber,,mileage,1,-0.183444071095338,17413.400390625,7743.34814453125,200
XGBoost+PseudoHuber,,mileage,1,-0.014304883353017939,17191.814453125,7696.3291015625,200
XGBoost+PseudoHuber,,mileage,1,0.15483430438930235,16976.220703125,7620.0830078125,200
XGBoost+PseudoHuber,,mileage,1,0.32397349213162263,16721.615234375,7470.54541015625,200
XGBoost+PseudoHuber,,mileage,1,0.49311267987394247,16461.619140625,7386.25927734375,200
XGBoost+PseudoHuber,,mileage,1,0.6622518676162628,16112.2548828125,7318.8291015625,200
XGBoost+PseudoHuber,,mileage,1,0.8313910553585826,15775.150390625,7103.00439453125,200
XGBoost+PseudoHuber,,mileage,1,1.0005302431009029,15383.7099609375,7043.63037109375,200
XGBoost+PseudoHuber,,mileage,1,1.1696694308432232,15063.322265625,6993.40966796875,200
XGBoost+PseudoHuber,,mileage,1,1.338808618585543,14599.28125,6743.861328125,200
XGBoost+PseudoHuber,,mileage,1,1.5079478063278635,14191.83203125,6608.36181640625,200
XGBoost+PseudoHuber,,engineSize,4,-1.3605748787242282,15669.880859375,7556.0390625,200
XGBoost+PseudoHuber,,engineSize,4,-1.1801035877182056,15669.880859375,7556.0390625,200
XGBoost+PseudoHuber,,engineSize,4,-0.9996322967121827,15792.4326171875,7534.0009765625,200
XGBoost+PseudoHuber,,engineSize,4,-0.8191610057061599,15811.787109375,7524.89306640625,200
XGBoost+PseudoHuber,,engineSize,4,-0.6386897147001371,15811.787109375,7524.89306640625,200
XGBoost+PseudoHuber,,engineSize,4,-0.45821842369411436,16173.6337890625,7600.435546875,200
XGBoost+PseudoHuber,,engineSize,4,-0.2777471326880916,16329.052734375,7526.0556640625,200
XGBoost+PseudoHuber,,engineSize,4,-0.09727584168206871,16502.759765625,7515.4677734375,200
XGBoost+PseudoHuber,,engineSize,4,0.08319544932395395,16636.3828125,7544.5400390625,200
XGBoost+PseudoHuber,,engineSize,4,0.2636667403299766,17095.447265625,7625.43701171875,200
XGBoost+PseudoHuber,,engineSize,4,0.4441380313359995,18069.623046875,7559.74658203125,200
XGBoost+PseudoHuber,,engineSize,4,0.6246093223420224,18694.974609375,8091.42822265625,200
XGBoost+PseudoHuber,,engineSize,4,0.805080613348045,18917.4453125,8044.7353515625,200
XGBoost+PseudoHuber,,engineSize,4,0.9855519043540677,19589.9765625,8139.92724609375,200
XGBoost+PseudoHuber,,engineSize,4,1.1660231953600908,19785.927734375,8306.478515625,200
XGBoost+PseudoHuber,,engineSize,4,1.3464944863661135,20589.763671875,8231.0615234375,200
XGBoost+PseudoHuber,,engineSize,4,1.5269657773721361,21715.25,9209.9140625,200
XGBoost+PseudoHuber,,engineSize,4,1.7074370683781588,21715.25,9209.9140625,200
XGBoost+PseudoHuber,,engineSize,4,1.8879083593841814,22721.982421875,9899.84375,200
XGBoost+PseudoHuber,,engineSize,4,2.0683796503902045,22789.142578125,9933.6826171875,200
XGBoost+PseudoHuber,,tax,2,-1.9942462272496047,17615.84765625,9882.8056640625,200
XGBoost+PseudoHuber,,tax,2,-1.8566180427647574,17615.84765625,9882.8056640625,200
XGBoost+PseudoHuber,,tax,2,-1.7189898582799104,17941.498046875,9898.9951171875,200
XGBoost+PseudoHuber,,tax,2,-1.581361673795063,17537.142578125,9831.20703125,200
XGBoost+PseudoHuber,,tax,2,-1.4437334893102158,17537.142578125,9831.20703125,200
XGBoost+PseudoHuber,,tax,2,-1.3061053048253686,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-1.1684771203405213,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-1.0308489358556743,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-0.893220751370827,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-0.7555925668859798,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-0.6179643824011325,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-0.48033619791628546,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-0.3427080134314382,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-0.20507982894659094,17496.482421875,9785.2685546875,200
XGBoost+PseudoHuber,,tax,2,-0.0674516444617439,17500.337890625,9744.6240234375,200
XGBoost+PseudoHuber,,tax,2,0.07017654002310336,17634.240234375,9713.28125,200
XGBoost+PseudoHuber,,tax,2,0.20780472450795062,17625.51171875,9761.3212890625,200
XGBoost+PseudoHuber,,tax,2,0.3454329089927979,17820.525390625,9592.833984375,200
XGBoost+PseudoHuber,,tax,2,0.48306109347764514,17139.162109375,8994.462890625,200
XGBoost+PseudoHuber,,tax,2,0.6206892779624925,17560.83203125,8942.248046875,200
XGBoost+PseudoHuber,,year,0,-1.4752298611979668,13004.5791015625,6094.17529296875,200
XGBoost+PseudoHuber,,year,0,-1.3490474605957057,13004.5791015625,6094.17529296875,200
XGBoost+PseudoHuber,,year,0,-1.2228650599934443,13004.5791015625,6094.17529296875,200
XGBoost+PseudoHuber,,year,0,-1.096682659391183,13004.5791015625,6094.17529296875,200
