model,base_model,residual_kind,metric,direction,parameter,parameter_type,n_trials,n_unique,sensitivity,spearman_corr,best_value,worst_value,score_mean,score_std
BaggingSVR,BaggingSVR,None,mae,minimize,max_samples,numeric,15,15,0.6749999999999999,0.6749999999999999,0.46534290177555293,0.5595814709150122,1104.6217294024439,62.55268228834917
BaggingSVR,BaggingSVR,None,mae,minimize,n_estimators,numeric,15,15,0.32499999999999996,-0.32499999999999996,10.018906713974578,8.470013213142881,1104.6217294024439,62.55268228834917
BaggingSVR,BaggingSVR,None,mae,minimize,n_jobs,numeric,15,15,0.25,0.25,-1.092742536930437,-0.875550328931313,1104.6217294024439,62.55268228834917
BaggingSVR,BaggingSVR,None,mae,minimize,svr_C,numeric,15,15,0.1857142857142857,0.1857142857142857,9.240602626751997,9.189909950175121,1104.6217294024439,62.55268228834917
BaggingSVR,BaggingSVR,None,mae,minimize,svr_tol,numeric,15,15,0.12142857142857141,0.12142857142857141,0.0012339569577476319,0.0012128574964471236,1104.6217294024439,62.55268228834917
BaggingSVR,BaggingSVR,None,mae,minimize,svr_epsilon,numeric,15,15,0.06428571428571428,-0.06428571428571428,0.019541296745311222,0.01929164535744529,1104.6217294024439,62.55268228834917
DecisionTree,DecisionTree,None,mae,minimize,min_samples_split,numeric,15,15,0.06071428571428571,-0.06071428571428571,21.165235644019916,24.160307923973065,1083.842548451925,129.40662569218117
FTTransformer,FTTransformer,None,mae,minimize,learning_rate,numeric,15,15,0.557142857142857,-0.557142857142857,0.0003114013468871872,0.000231093060375815,1123.8628768576236,96.80847034237571
FTTransformer,FTTransformer,None,mae,minimize,batch_size,numeric,15,15,0.5214285714285714,-0.5214285714285714,317.2568917401247,253.31267902032883,1123.8628768576236,96.80847034237571
FTTransformer,FTTransformer,None,mae,minimize,ff_dropout,numeric,15,15,0.3071428571428571,0.3071428571428571,0.13134392170721287,0.110351917273415,1123.8628768576236,96.80847034237571
FTTransformer,FTTransformer,None,mae,minimize,n_heads,numeric,15,15,0.2607142857142857,0.2607142857142857,7.445677079098277,6.382869081295177,1123.8628768576236,96.80847034237571
FTTransformer,FTTransformer,None,mae,minimize,input_dim,numeric,15,15,0.16785714285714282,-0.16785714285714282,127.59069896176203,106.94243013337106,1123.8628768576236,96.80847034237571
FTTransformer,FTTransformer,None,mae,minimize,attn_dropout,numeric,15,15,0.11428571428571425,-0.11428571428571425,0.17927840407903262,0.21311624520557157,1123.8628768576236,96.80847034237571
FTTransformer,FTTransformer,None,mae,minimize,patience,numeric,15,15,0.11071428571428568,-0.11071428571428568,10.673564133697909,9.90573622318676,1123.8628768576236,96.80847034237571
